Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
HYDIN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,15366.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.429175349,0.806666667,0.0,3.0,3.0,0.342348511,1.0,0.183924959,0.495351745,19.17569135,723.0,0.00097044,2.85e-06,2.0,-1.63,0.0698608,0.635,1.25e-05,-2.7625,0.06512825,1.32135445,0.066962691,0.0
IL4R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2478.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.423698819,0.775,0.0,1.0,1.0,0.0932314,1.0,0.17053206,0.472174619,17.7978616,560.0,0.02476725,4.19e-05,17.0,-5.59,0.64979997,0.11,2.5973119,-11.29,1.15572745,0.074179927,0.059092497,0.0
IRF8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1281.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.326051213,0.57675,0.0,4.0,4.0,0.873362445,1.0,0.16871942,0.468958695,18.6373947,461.0,0.02664756,2.96e-05,23.0,0.27000003,0.22350487,2.1066668,0.14823067,-5.24,0.013777996,0.018218385,7.44e-06,0.0
KCTD19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2781.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.522560236,0.617,0.0,1.0,1.0,0.67704807,1.0,0.946969697,0.998568357,20.19669697,142.0,0.05641936,0.0,1.0,-2.15,0.16017801,0.68,2.5973119,-4.98,1.15572745,0.578606396,0.059092497,0.0
KLHDC4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1563.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.703079553,0.138,0.0,1.0,1.0,0.887311446,1.0,0.449640288,0.809041087,19.18052789,251.0,0.02785572,1.92e-05,10.0,-0.43,0.015842,0.46,2.5973119,-1.32,1.15572745,0.818232925,0.059092497,0.0
KLHL36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1851.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.432412368,0.717,0.0,1.0,1.0,1.0,1.0,0.313283208,0.676894636,19.11308386,187.0,0.03316714,3.29e-06,7.0,0.855,0.0190125,1.83,2.5973119,-0.12,1.15572745,0.578606396,0.059092497,0.0
LCMT1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1005.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.472894773,0.67,0.0,1.0,1.0,0.251889169,1.0,0.162946065,0.45858498,18.05900851,418.0,0.02270296,3.39e-06,10.0,-5.59,0.64979997,0.11,2.5973119,-11.29,1.15572745,0.578606396,0.059092497,0.0
LITAF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,486.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.295155422,0.67,0.0,1.0,1.0,1.0,1.0,0.102364623,0.335675515,19.30994391,209.0,0.03003128,2.36e-05,12.0,21.335,8.967613,21.335,8.967613,-6.6034935,1.15572745,0.119662323,0.059092497,0.0
LMF1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1704.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.347199168,0.819,0.0,1.0,1.0,0.644745326,1.0,0.252397779,0.599886156,20.15519129,304.0,0.01699301,2.69e-05,18.0,-2.925,0.2775125,0.8,2.5973119,-6.65,1.15572745,0.578606396,0.059092497,0.0
LPCAT2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1635.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.134934557,0.405203803,16.87225764,430.0,-0.02923545,4.84e-06,4.0,-2.28,0.16704199,0.61,2.5973119,-5.17,1.15572745,0.578606396,0.059092497,0.0
LRRC36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2265.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.627498636,0.406,0.0,1.0,1.0,0.617283951,1.0,0.149142431,0.43293863,20.14418522,125.0,0.04921132,0.0,0.0,-5.59,0.64979997,0.11,2.5973119,-11.29,1.15572745,0.578606396,0.059092497,0.0
