gene_id,gene,pvalue
184.0,RUNX3,0.99910045
814.0,MAP2K1,0.9990938
6128.0,UBE2K,0.99909186
8253.0,CLEC1A,0.9990853
12932.0,PCDH15,0.9990754
8431.0,UGP2,0.9990729
826.0,AKAP5,0.99904436
11507.0,MUC5B,0.9990426
10940.0,SLC4A8,0.99903935
5235.0,SPTA1,0.9990345
6439.0,MRPS28,0.9990275
585.0,PTTG1,0.99901927
159.0,TFAP2C,0.9990132
7625.0,BCL9L,0.99901295
235.0,CENPX,0.9990079
4705.0,MRPS9,0.99900275
325.0,MTMR6,0.9989982
1677.0,VAV2,0.99899787
9137.0,MT1A,0.998992
4911.0,TCAP,0.9989874
8345.0,TAF10,0.9989837
